Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2014,rnk_2013,rnk_2014,stDev,odds_0728
Vanderbilt,0.065666667,0.007,0.042666667,0.016,211,0.059666667,0.059,0.014,0.026,0.019,204.7,0.062,0.039880976,50,48,0.378501299,100000
Northwestern,0.049333333,0.041,-0.002,0.010333333,208.1,0.061333333,0.02,-0.021,0.044,-0.003,208.9,0.011,0.038804707,59,49,0.27718164,20000
Texas Tech,0.022333333,0.088,-0.054666667,-0.011,209.5,0.022,0.08,0.123,-0.009,-0.034,216.4,0.066,0.037656486,43,50,0.109694039,50000
North Texas,-0.133,-0.081333333,-0.055666667,0.003666667,190.4,-0.108,0.049,-0.05,0.073,0.026,218.7,0.022,0.035938662,51,51,-0.8538766,10000
Northern Illinois,0.058,0.068666667,-0.012666667,0.001666667,215.2666667,0.055,0.012,0.042,-0.02,-0.011,205.4,0.049,0.032242498,60,52,0.330943092,10000
Fresno State,0.016,0.044666667,-0.010333333,-0.018666667,216.6333333,-0.001333333,0.06,0.099,-0.013,-0.026,218.8,0.032,0.031539181,49,53,0.070406825,10000
Navy,-0.060333333,0.048333333,-0.115,0.006666667,197.5,-0.046,0.022,0.082,-0.088,0.029,205.8,0.033,0.025907751,58,54,-0.403107502,10000
Pittsburgh,0.048666667,0,0.050666667,-0.001666667,209.3,0.061,0.036,0.006,0.054,-0.024,218.1,0.032,0.017961609,54,55,0.273046144,100000
East Carolina,-0.041333333,-0.001666667,-0.032,-0.007666667,204.5333333,-0.066333333,0.088,0.074,0.022,-0.008,221.9,0.067,0.013222932,40,56,-0.285245858,10000
West Virginia,0.054,0.060666667,0.000333333,-0.008,208.3666667,0.066666667,-0.066,-0.072,-0.004,0.009,183.5,-0.016,0.007701794,74,57,0.306130114,10000
Ball State,-0.042666667,0.017,-0.082333333,0.021666667,199.5666667,-0.049666667,0.023,0.047,-0.046,0.021,207.4,0.012,0.007370953,57,58,-0.29351685,10000
Marshall,-0.049666667,0.024333333,-0.060666667,-0.013333333,201.2333333,-0.047333333,0.044,0.086,-0.031,-0.011,213.2,0.045,0.006016833,52,59,-0.336939561,10000
Tennessee,-0.005666667,-0.000333333,0.001,-0.006,209.7333333,-0.011333333,-0.052,-0.068,0.012,0.004,203.3,-0.049,-0.000207927,70,60,-0.063996805,20000
Washington State,-0.087333333,-0.033333333,-0.039333333,-0.014666667,190.8666667,-0.064,0.037,0.015,0.016,0.006,207.4,0.028,-0.000638449,53,61,-0.570595103,100000
Penn State,0.084666667,-0.017,0.117333333,-0.015666667,223.6333333,0.059666667,-0.001,-0.031,0.062,-0.031,211.2,-0.015,-0.001343223,61,62,0.496362944,10000
Minnesota,-0.066666667,-0.050333333,-0.025666667,0.009666667,191.7666667,-0.061,0.028,-0.032,0.033,0.028,198.2,0.03,-0.006075032,55,63,-0.442394717,10000
Cincinnati,0.09,0.053666667,0.049666667,-0.013,212.9666667,0.103333333,-0.015,0.023,0.02,-0.057,209.7,0.03,-0.01812849,64,64,0.529446914,10000
Arkansas State,-0.027333333,-0.011666667,-0.02,0.004,208.5666667,-0.031333333,-0.121,-0.082,-0.081,0.042,186.9,-0.102,-0.018939704,88,65,-0.198400435,10000
Indiana,-0.085666667,0.05,-0.131666667,-0.003333333,190.4333333,-0.067,0.023,0.14,-0.111,-0.006,214.5,0.002,-0.019897404,56,66,-0.560256362,10000
Maryland,-0.084,-0.068,-0.016,0.000333333,190.8333333,-0.066,-0.014,-0.036,-0.003,0.026,208.3,-0.046,-0.025200098,63,67,-0.549917621,10000
Rice,-0.102333333,-0.062333333,-0.060333333,0.019666667,190.4666667,-0.08,-0.031,-0.024,-0.023,0.016,201.6,-0.035,-0.028052908,67,68,-0.66364377,10000
Arkansas,0.034,0.058333333,-0.024,-0.000333333,214.9333333,0.017,-0.101,-0.015,-0.08,-0.006,195.2,-0.093,-0.030250177,85,69,0.182065225,10000
Syracuse,0.002333333,0.004333333,0.007,-0.008666667,199.9,0.019,-0.062,-0.056,-0.003,-0.003,198,-0.078,-0.031555727,73,70,-0.01437085,10000
Nevada,-0.055666667,0.050666667,-0.098333333,-0.008,205,-0.053666667,-0.105,0.035,-0.15,0.01,195.3,-0.106,-0.032623409,86,71,-0.374159028,10000
Iowa State,-0.029333333,-0.046,0.007333333,0.009333333,193.8,0.013666667,-0.074,-0.051,-0.04,0.017,187.5,-0.047,-0.035044212,76,72,-0.210806924,10000
Boston College,-0.065666667,-0.043333333,-0.036666667,0.015,192.3333333,-0.05,-0.022,0.029,-0.078,0.027,206.9,-0.045,-0.035190263,65,73,-0.436191473,10000
Virginia,-0.054333333,-0.064666667,0.036,-0.026,198.6333333,-0.039,-0.077,-0.119,0.046,-0.004,197.9,-0.066,-0.042978854,77,74,-0.365888036,10000
Western Kentucky,-0.081666667,-0.058666667,-0.026666667,0.003666667,192.6666667,-0.061333333,-0.067,-0.055,-0.018,0.005,197.3,-0.069,-0.04728272,75,75,-0.535443384,10000
Colorado State,-0.165,-0.101666667,-0.064,0.000666667,183.0666667,-0.138666667,-0.026,-0.037,0.008,0.003,203.4,0,-0.051312002,66,76,-1.052380422,10000
UL-Lafayette,-0.064,0.004666667,-0.070666667,0.002666667,198.2666667,-0.061333333,-0.098,-0.015,-0.09,0.008,189.7,-0.059,-0.056566758,83,77,-0.425852732,10000
Buffalo,-0.14,-0.076666667,-0.042666667,-0.020666667,187.7666667,-0.110666667,-0.078,-0.066,-0.015,0.003,196.8,-0.069,-0.057094559,78,78,-0.897299311,10000
Tulane,-0.178666667,-0.127666667,-0.044333333,-0.006666667,177.3,-0.145,-0.037,-0.116,0.074,0.005,199.1,-0.028,-0.05786469,68,79,-1.137158097,10000
Wake Forest,-0.096333333,-0.073333333,-0.01,-0.013,187.9333333,-0.065666667,-0.085,-0.129,0.045,0,194.9,-0.06,-0.058330105,79,80,-0.626424303,10000
Tulsa,0.014333333,-0.024333333,0.048333333,-0.009666667,213.9666667,0.004666667,-0.135,-0.122,0.019,-0.032,191.6,-0.093,-0.059497843,92,81,0.060068084,10000
San Jose State,-0.012333333,0.018666667,-0.033666667,0.003,205.9,-0.019,-0.061,0.09,-0.132,-0.019,201.4,-0.07,-0.063901642,72,82,-0.105351768,10000
South Florida,-0.047,-0.065333333,0.022333333,-0.003666667,197.6333333,-0.030333333,-0.173,-0.205,0.016,0.016,179.1,-0.133,-0.068924567,97,83,-0.320397576,10000
Memphis,-0.202,-0.148333333,-0.064333333,0.011,171.9,-0.141,-0.09,-0.118,0.001,0.027,192.7,-0.053,-0.070091352,81,84,-1.281900467,10000
SMU,-0.050333333,-0.035,-0.005333333,-0.01,203.9333333,-0.045333333,-0.097,-0.028,-0.034,-0.034,194.6,-0.052,-0.071873617,82,85,-0.341075058,10000
Illinois,-0.071,-0.067666667,0.013666667,-0.017,197.8,-0.071,-0.04,0.057,-0.1,0.003,200.1,-0.055,-0.074987449,69,86,-0.469275443,10000
San Diego State,-0.024666667,-0.038,0.019,-0.005333333,203.5,-0.030666667,-0.117,-0.108,0.016,-0.024,192.6,-0.093,-0.078001095,87,87,-0.18185845,10000
