Tm,Yr,1D,2sh,2mid,2lng,2D,3sh,3mid,3lng,3D,all
KC,2011,-0.207,-0.127,-0.038,-0.259,-0.161,0.023,-0.541,-0.146,-0.216,-0.193
JAC,2011,-0.184,-0.281,-0.359,-0.324,-0.331,-0.266,-0.042,-0.722,-0.306,-0.265
IND,2011,-0.136,0.102,-0.145,-0.127,-0.083,0.151,-0.86,-0.033,-0.364,-0.172
HOU,2011,0.162,-0.118,0.12,-0.043,-0.004,0.278,0.546,-0.851,0.072,0.084
GB,2011,0.226,0.083,0.062,0.655,0.339,0.032,0.643,1.277,0.585,0.338
DET,2011,0.184,0.122,-0.067,0.077,0.04,-0.194,-0.291,0.158,-0.125,0.071
DEN,2011,0.033,-0.242,-0.083,-0.093,-0.115,-0.15,-0.427,-0.448,-0.347,-0.099
DAL,2011,0.026,0.078,0.116,0.106,0.103,-0.475,0.064,0.677,0.05,0.059
CLE,2011,-0.048,-0.126,-0.258,-0.251,-0.234,-0.226,0.131,-0.008,-0.038,-0.112
CIN,2011,-0.003,0.065,0.012,-0.417,-0.173,-0.017,0.435,0.186,0.226,-0.014
CHI,2011,-0.314,-0.008,0.063,-0.216,-0.093,0.088,-0.5,-0.148,-0.202,-0.214
CAR,2011,0.015,0.123,0.036,0.443,0.261,0.724,0.153,0.605,0.462,0.182
BUF,2011,0.041,-0.293,0.09,0.322,0.102,-0.198,0.178,-0.979,-0.244,0.003
BAL,2011,0.1,-0.123,0.018,-0.287,-0.151,0.224,0.237,0.063,0.183,0.029
ATL,2011,-0.029,0.007,0.12,0.121,0.097,-0.105,0.519,0.185,0.181,0.061
ARI,2011,-0.05,-0.26,-0.266,-0.201,-0.237,-0.136,0.124,-1.281,-0.359,-0.184
WAS,2010,-0.097,0.038,-0.093,0.147,0.048,-0.344,-0.108,-0.833,-0.412,-0.113
TEN,2010,0.027,-0.545,-0.099,-0.032,-0.122,0.427,0.09,-0.912,-0.064,-0.045
TB,2010,-0.004,-0.19,0.178,-0.074,-0.016,0.194,0.104,0.965,0.368,0.08
STL,2010,-0.187,-0.408,0.075,-0.127,-0.109,-0.115,-0.354,-0.394,-0.285,-0.181
SF,2010,-0.109,-0.144,-0.03,-0.192,-0.128,0.047,-0.295,-0.004,-0.091,-0.111
SEA,2010,-0.208,-0.41,-0.178,-0.027,-0.168,-0.362,0.482,-0.352,-0.118,-0.173
SD,2010,0.182,0.278,0.011,0.007,0.059,-0.003,0.251,0.555,0.262,0.155
PIT,2010,0.063,0.158,0.074,0.163,0.136,0.351,-0.055,0.785,0.312,0.143
PHI,2010,0.129,-0.087,0.138,0.264,0.159,0.214,-0.257,1.183,0.283,0.173
OAK,2010,-0.048,0.062,-0.241,-0.106,-0.124,0.249,-0.358,-0.091,-0.09,-0.083
NYJ,2010,0.047,0.341,-0.073,-0.183,-0.05,0.325,-0.058,0.077,0.093,0.021
NYG,2010,0.312,0.032,-0.063,-0.074,-0.05,-0.44,0.231,-0.66,-0.273,0.075
NO,2010,-0.033,0.198,0.1,0.047,0.097,0.157,0.137,0.39,0.203,0.064
NE,2010,0.272,0.177,0.525,0.311,0.362,0.546,1.126,0.951,0.843,0.422
MIN,2010,0.07,-0.324,-0.321,-0.082,-0.202,0.106,-1.017,-0.653,-0.486,-0.151
