Team,Year,f_yr-1,f_yr-2,f_yr-3,f_yr-4,f_yr-5,yr1_f
Miami (Ohio),2012,-0.083,-0.155,-0.24100000000000002,-0.223,-0.18899999999999997,-0.17600000000000002
UNLV,2012,-0.33,-0.28600000000000003,-0.126,-0.107,-0.14400000000000002,-0.177
Kansas,2012,-0.23600000000000002,-0.235,0.035,0.055,0.22,-0.18
Auburn,2012,-0.013000000000000001,0.365,0.098,-0.025,0.20800000000000002,-0.18600000000000003
Army,2012,-0.16399999999999998,-0.075,-0.188,-0.183,-0.22,-0.188
Wake Forest,2012,-0.013000000000000001,-0.17300000000000001,0.071,0.11900000000000001,0.065,-0.191
Illinois,2012,0.02,0.10400000000000001,-0.134,0.040999999999999995,0.154,-0.193
Akron,2012,-0.354,-0.303,-0.24100000000000002,-0.06,-0.203,-0.203
Eastern Michigan,2012,-0.16899999999999998,-0.285,-0.318,-0.252,-0.209,-0.20600000000000002
Tulane,2012,-0.292,-0.184,-0.289,-0.237,-0.187,-0.207
Kentucky,2012,-0.109,0.017,0.021,-0.053,0.158,-0.21
North Texas,2012,-0.233,-0.122,-0.159,-0.36,-0.243,-0.215
New Mexico,2012,-0.444,-0.33899999999999997,-0.25,-0.06,0.025,-0.217
Florida Atlantic,2012,-0.32799999999999996,-0.136,-0.136,-0.11199999999999999,-0.066,-0.218
Southern Miss,2012,0.134,0.035,-0.053,0.036000000000000004,-0.033,-0.23399999999999999
Colorado State,2012,-0.222,-0.28,-0.127,-0.073,-0.087,-0.247
Idaho,2012,-0.263,-0.131,-0.10300000000000001,-0.325,-0.215,-0.254
Hawaii,2012,-0.113,0.052000000000000005,-0.187,-0.166,0.08,-0.254
New Mexico State,2012,-0.225,-0.363,-0.32299999999999995,-0.235,-0.195,-0.35600000000000004
Colorado,2012,-0.22699999999999998,-0.047,-0.092,-0.147,0.008,-0.36
Alabama,2011,0.375,0.41200000000000003,0.273,0.102,,0.539
LSU,2011,0.21,0.13699999999999998,0.139,0.337,,0.46799999999999997
Oklahoma State,2011,0.248,0.11699999999999999,0.162,0.079,,0.379
Oregon,2011,0.265,0.20199999999999999,0.16,0.278,,0.33799999999999997
Boise State,2011,0.39299999999999996,0.285,0.29100000000000004,0.096,,0.33
Wisconsin,2011,0.24600000000000002,0.2,0.037000000000000005,0.081,,0.293
Stanford,2011,0.332,0.11900000000000001,-0.001,-0.034,,0.285
Oklahoma,2011,0.284,0.273,0.354,0.273,,0.27699999999999997
Michigan,2011,0.03,0.005,-0.057999999999999996,0.13699999999999998,,0.264
Florida State,2011,0.19,0.09,0.14400000000000002,0.059000000000000004,,0.242
Michigan State,2011,0.14800000000000002,0.054000000000000006,0.065,0.084,,0.23800000000000002
USC,2011,0.086,0.134,0.47600000000000003,0.331,,0.237
Notre Dame,2011,0.188,0.15,0.037000000000000005,-0.139,,0.235
Georgia,2011,0.11599999999999999,0.098,0.155,0.23800000000000002,,0.228
Texas A&M,2011,0.188,0.051,-0.184,-0.017,,0.21
Arkansas,2011,0.285,0.145,-0.047,0.154,,0.19899999999999998
Houston,2011,-0.006,0.113,0.036000000000000004,-0.057,,0.17800000000000002
TCU,2011,0.33299999999999996,0.321,0.324,0.069,,0.17600000000000002
West Virginia,2011,0.19899999999999998,0.06,0.11,0.327,,0.162
South Carolina,2011,0.21899999999999997,0.09699999999999999,0.063,0.095,,0.158
Texas,2011,-0.019,0.379,0.365,0.17800000000000002,,0.147
Missouri,2011,0.233,0.032,0.19699999999999998,0.23800000000000002,,0.145
Cincinnati,2011,0.02,0.175,0.122,0.21,,0.141
Virginia Tech,2011,0.253,0.315,0.105,0.251,,0.14
Temple,2011,-0.07,0.022000000000000002,-0.045,-0.223,,0.13699999999999998
Baylor,2011,-0.037000000000000005,-0.129,-0.031,-0.226,,0.135
Southern Miss,2011,0.035,-0.053,0.036000000000000004,-0.033,,0.134
Nebraska,2011,0.203,0.255,0.087,-0.043,,0.13
Kansas State,2011,0.006999999999999999,-0.065,-0.102,-0.002,,0.122
Rutgers,2011,-0.102,-0.003,0.1,0.11199999999999999,,0.121
Penn State,2011,0.025,0.303,0.34,0.134,,0.105
Miami,2011,0.168,0.17800000000000002,0.013000000000000001,-0.035,,0.105
Clemson,2011,0.138,0.20199999999999999,0.139,0.21899999999999997,,0.102
Florida,2011,0.098,0.408,0.494,0.295,,0.095
South Florida,2011,0.069,0.004,0.094,0.22899999999999998,,0.094
Ohio State,2011,0.33899999999999997,0.278,0.251,0.33399999999999996,,0.094
Tulsa,2011,0.018000000000000002,-0.07200000000000001,0.10099999999999999,0.024,,0.091
Toledo,2011,-0.11800000000000001,-0.138,-0.159,-0.159,,0.086
Vanderbilt,2011,-0.163,-0.092,0.018000000000000002,-0.042,,0.077
BYU,2011,0.004,0.156,0.067,0.21,,0.07200000000000001
Georgia Tech,2011,-0.018000000000000002,0.158,0.078,0.045,,0.068
California,2011,-0.08,0.006999999999999999,0.136,0.142,,0.062
North Carolina,2011,0.07,0.11199999999999999,0.152,-0.024,,0.059000000000000004
Arizona State,2011,0.061,0.011000000000000001,-0.040999999999999995,0.162,,0.055999999999999994
Louisville,2011,0.057,-0.14400000000000002,-0.11599999999999999,0.09,,0.053
Iowa,2011,0.177,0.251,0.21100000000000002,-0.042,,0.053
Pittsburgh,2011,0.155,0.21,0.166,0.044000000000000004,,0.05
Louisiana Tech,2011,-0.099,-0.064,-0.132,-0.155,,0.049
Mississippi State,2011,0.109,0.01,-0.16,0.049,,0.044000000000000004
Northern Illinois,2011,0.09699999999999999,-0.063,-0.04,-0.252,,0.043
Tennessee,2011,0.006999999999999999,0.145,0.019,0.183,,0.027000000000000003
Central Florida,2011,0.10300000000000001,-0.055999999999999994,-0.111,0.098,,0.022000000000000002
Illinois,2011,0.10400000000000001,-0.134,0.040999999999999995,0.154,,0.02
Connecticut,2011,-0.013999999999999999,0.114,0.11699999999999999,0.107,,0.013999999999999999
Utah,2011,0.11599999999999999,0.126,0.243,0.127,,0.012
Ohio,2011,-0.084,-0.064,-0.111,-0.14800000000000002,,0.011000000000000001
Virginia,2011,-0.086,-0.061,-0.01,0.067,,0.002
N.C. State,2011,0.172,-0.040999999999999995,0.03,-0.031,,0.002
Northwestern,2011,-0.064,0.03,0.05,-0.114,,-0.001
Western Michigan,2011,-0.025,-0.14800000000000002,-0.042,-0.10300000000000001,,-0.004
