Team,f_3yr_avg,off_f_3yr_avg,def_f_3yr_avg,st_f_3yr_avg,s_p_3yr_avg,fei_3yr_avg,f_yr3,off_f_yr3,def_f_yr3,st_f_yr3,s_p_yr3,fei_yr3,f2013,rnk_2012,rnk_2013,act_2013
Army,-0.142333333,-0.028,-0.102666667,-0.012,184.7666667,-0.115666667,-0.188,-0.005,-0.176,-0.008,177,-0.161,-0.138495672,105,103,100
Kansas,-0.217,-0.098,-0.090666667,-0.028666667,171.0333333,-0.179,-0.18,-0.078,-0.06,-0.042,179.6,-0.121,-0.181644839,103,112,101
Wyoming,-0.195,-0.055333333,-0.118333333,-0.021666667,179.5666667,-0.159,-0.171,-0.01,-0.125,-0.036,182.7,-0.122,-0.14873981,99,107,102
California,-0.029333333,-0.045666667,0.018666667,-0.001666667,208.9666667,-0.038666667,-0.07,-0.049,-0.017,-0.003,201,-0.066,-0.03582248,77,71,103
Ohio,-0.039333333,-0.012,-0.039666667,0.011666667,196.4333333,-0.05,-0.045,-0.023,-0.036,0.013,191.9,-0.034,-0.050219839,68,77,104
Troy,-0.091333333,-0.019333333,-0.067,-0.005333333,191.1333333,-0.090666667,-0.074,0.018,-0.087,-0.006,197.5,-0.063,-0.086643191,78,88,105
Kent State,-0.079666667,-0.122333333,0.033666667,0.008333333,194.2,-0.077666667,0.062,-0.024,0.042,0.043,209.5,0.046,0.005185723,48,62,106
Akron,-0.286666667,-0.144666667,-0.116666667,-0.025333333,157.6333333,-0.217333333,-0.203,-0.064,-0.107,-0.032,171.1,-0.137,-0.210126693,108,118,108
UL-Monroe,-0.103666667,-0.037,-0.041666667,-0.024666667,187.2666667,-0.081333333,-0.066,0.011,-0.073,-0.004,193.4,-0.033,-0.08187348,75,86,109
New Mexico,-0.333333333,-0.140666667,-0.153333333,-0.039333333,158.6333333,-0.277333333,-0.217,-0.045,-0.161,-0.011,178.2,-0.162,-0.207800791,113,117,110
